prec,2015,22.35,37.09,16.51,50.55,119.13,157.23,157.23,75.18,78.99,52.07,123.19,117.61
tmin,2015,-10.32,-14.28,-4.56,4.28,11.45,16.02,17.59,15.65,14.59,6.11,1.06,-0.91
tmax,2015,-0.66,-3.58,8.6,18.59,22.62,26.57,28.11,27.13,27.39,18.39,11.98,6.83
prec,2016,11.18,19.31,70.36,63,86.87,113.29,207.01,224.29,39.88,63.5,13.98,24.13
tmin,2016,-9.83,-5.38,0.96,4.21,10.14,16.9,18.3,18.3,14.64,8.87,2.11,-7.8
tmax,2016,-1.38,3.6,12,16.21,22.04,30.02,28.61,28.78,26.97,20.63,14.44,-0.02
prec,2017,32.26,11.94,61.22,106.17,91.19,59.95,99.83,44.2,71.12,110.75,26.67,16.26
tmin,2017,-6.52,-3.51,-1.06,5.89,9.7,15.46,17.76,14.7,12.41,7.58,-2.22,-8.12
tmax,2017,1.37,9.21,9.78,17.69,21.37,28.94,30.31,26.87,27.16,18.73,8.74,2.28
prec,2018,8.38,70.61,89.92,22.61,121.16,124.46,43.18,163.58,122.17,151.38,100.84,39.12
tmin,2018,-11.99,-9.54,-2.87,-1.3,13.81,17.83,17.57,17.42,13.68,4.78,-3.83,-4.94
tmax,2018,-0.93,1.15,7.67,11.55,26.8,28.96,29.35,29.09,25.44,16.35,4.26,3.8
prec,2019,69.85,83.31,45.97,97.03,271.53,109.98,22.35,86.11,146.81,51.05,35.05,29.97
tmin,2019,-10.93,-11.38,-4.35,3.78,9.64,15.81,19.56,16.2,15.44,4.3,-3.87,-4.5
tmax,2019,-1.34,-0.99,6.09,16.22,20.04,26.59,31,27.72,26.22,15.57,5.92,5.52
prec,2020,45.21,6.62,76.71,40.39,107.95,152.66,109.98,4.83,174.24,75.95,81.28,60.71
tmin,2020,-6.98,-7.39,0.33,2.85,9.7,16.98,19.74,16.83,11.22,3.62,0.71,-6.22
tmax,2020,1,2.97,10.69,16,20.05,27.8,29.33,28.26,22.54,14.41,12.82,2.69
prec,2021,49.54,20.58,61.22,85.86,145.3,173.99,119.38,46.99,58.42,100.33,15.25,15.24
tmin,2021,-7.98,-13.53,0.8,4,10.48,17.35,18.46,18.41,14.14,9.27,-1.26,-3.92
tmax,2021,-0.52,-5.46,11.72,16.28,20.7,28.5,27.94,28.53,26.42,18.94,9.54,7.1
prec,2022,25.4,8.13,68.33,71.63,58.42,97.03,51.82,61.47,90.42,24.89,116.33,40.64
tmin,2022,-15.56,-11.09,-1.79,2.5,11.96,16.86,18.53,17.61,12.98,3.23,-1.22,-8.51
tmax,2022,-3.71,1.63,10.24,13.11,22.81,28.3,28.77,27.98,24.28,17.49,10.15,0.79
prec,2023,49.79,91.69,60.46,50.55,56.9,77.22,61.47,83.31,30.48,73.66,13.46,119.63
tmin,2023,-5.65,-7.06,-1.83,3.04,10.63,14.96,17.78,17.94,13.09,6.85,-1.44,-1.41
tmax,2023,1.85,4.92,8.06,18.12,23.98,28.46,28.83,28.48,25.98,17.87,10.19,6.17
prec,2024,75.44,6.35,71.37,173.74,88.39,146.81,128.27,119.63,2.54,82.8,90.68,0.76
tmin,2024,-8.69,-3.51,0.63,5.65,12.24,17.91,17.97,17.9,12.91,6.26,1.94,-8.68
tmax,2024,-2.83,10.25,12.42,17.24,24.28,28.68,27.62,27.84,26.04,21.8,11,0.63
