prec,2015,3.82,63.51,15.25,63.25,139.46,168.41,246.13,28.97,98.05,54.1,113.04,69.86
tmin,2015,-11.59,-14.15,-5.13,4.81,11.26,17.06,18.15,15.85,14.43,6.31,1.31,-1.4
tmax,2015,0.68,-2.5,10.11,19.5,22.22,26.94,28.78,27.74,27.95,19.39,14.37,7.94
prec,2016,11.44,41.91,65.8,29.72,116.34,22.87,176.28,167.64,76.2,29.97,45.47,24.9
tmin,2016,-8.87,-4.67,1.34,5,9.59,16.65,19.19,15.61,12.76,8.13,2.5,-7.4
tmax,2016,0.81,4.66,13.6,18.35,21.7,30.45,28.57,29,27.76,21.13,15.31,1.24
prec,2017,39.38,11.43,73.67,161.29,95.51,34.81,30.74,65.54,44.97,148.6,26.16,7.37
tmin,2017,-6.4,-3.19,-0.65,6.25,9.74,15.41,18.28,14.54,11.74,7.15,-2.13,-8.85
tmax,2017,1.85,10.4,10.97,17.95,21.89,29.19,32.43,28.35,28.2,18.92,9.96,2.46
prec,2018,8.39,65.04,102.37,7.11,92.46,104.15,102.36,152.41,149.86,131.58,58.68,38.62
tmin,2018,-12.03,-9.03,-2.81,-1.7,14.03,18.35,17.03,17.37,13.56,4.68,-4.33,-5.4
tmax,2018,-0.48,2.34,8.06,11.99,27.72,29.44,30.04,29.94,25.7,16.49,4.77,3.83
prec,2019,73.67,61.98,90.69,69.61,332.24,133.35,39.88,85.35,227.33,44.46,39.12,50.81
tmin,2019,-10.7,-11.01,-4.39,3.89,9.35,15.65,19.46,16.02,15.21,3.57,-3.54,-4.39
tmax,2019,-0.32,-0.39,7.17,17.57,20.56,26.76,30.83,28.18,26.9,15.56,7.07,6.43
prec,2020,40.91,13.98,99.06,42.93,147.07,173.74,96.77,8.13,127,29.22,90.68,68.33
tmin,2020,-7.35,-7.38,0.67,2.15,10.54,16.62,19.81,16.51,11.57,3.62,0.57,-6.65
tmax,2020,1.15,3.45,11.02,15.52,20.81,28.16,30.09,29.14,23.33,15.38,13.87,4
prec,2021,49.02,18.04,68.07,90.93,153.93,227.08,226.31,108.46,68.07,102.12,11.68,22.35
tmin,2021,-7.81,-13.81,1.56,4.25,10.37,17.35,18.85,18.26,13.39,9.03,-1.11,-3.33
tmax,2021,0.46,-4.76,13.35,15.84,20.67,28.52,28.68,29.21,27.35,19.64,10.93,8.81
prec,2022,29.97,14.48,96.01,86.87,62.23,88.9,49.78,22.86,124.97,38.36,58.42,28.45
tmin,2022,-14.89,-10.76,-1.81,2.41,11.95,16.93,18.19,17.54,12.74,3.06,-2.13,-8.3
tmax,2022,-2.94,2.7,10.54,14.04,23.32,28.78,29.57,30.15,26.43,18.5,10.76,1.67
prec,2023,65.79,99.57,101.09,31.5,44.96,42.42,113.28,111.51,30.48,59.18,11.94,77.22
tmin,2023,-5.93,-7.04,-2.26,3.72,10.43,15.61,18.3,17.93,13.17,7.15,-2.32,-0.77
tmax,2023,2.51,6.29,8.19,18.47,24.41,29.35,29.7,29.2,27.16,19.66,11.34,7.83
prec,2024,82.8,1.78,66.55,180.85,74.93,81.03,195.84,72.64,21.34,58.93,47.25,0.51
tmin,2024,-8.87,-3.41,-0.02,5.13,11.76,17.64,17.67,16.99,12.15,5.46,1.41,-9.79
tmax,2024,-2.03,11.77,13.06,17.56,24.44,29.18,28.12,27.95,26.56,22.63,11.22,1.46
