Year,Month,Stations,prec,tmax,tmin
2015,Month_1,cedarrapids1,14.23,-0.31,-10.24
2015,Month_10,cedarrapids1,84.08,18.33,6.72
2015,Month_11,cedarrapids1,102.11,11.57,1.19
2015,Month_12,cedarrapids1,114.05,5.65,-1.04
2015,Month_2,cedarrapids1,31.75,-4.23,-15.1
2015,Month_3,cedarrapids1,21.59,10.35,-3.74
2015,Month_4,cedarrapids1,116.59,18.94,4.24
2015,Month_5,cedarrapids1,111.76,22.96,11.27
2015,Month_6,cedarrapids1,227.08,26.91,15.63
2015,Month_7,cedarrapids1,73.66,28.63,17.28
2015,Month_8,cedarrapids1,67.31,27.01,15.33
2015,Month_9,cedarrapids1,133.35,27.3,14.56
2016,Month_1,cedarrapids1,18.04,-1.59,-9.98
2016,Month_10,cedarrapids1,39.63,21.04,8.56
2016,Month_11,cedarrapids1,57.91,13.6,2.22
2016,Month_12,cedarrapids1,29.73,-0.9,-7.89
2016,Month_2,cedarrapids1,10.67,2.72,-5.17
2016,Month_3,cedarrapids1,69.35,12.46,1.31
2016,Month_4,cedarrapids1,85.61,17.48,4.43
2016,Month_5,cedarrapids1,59.44,24.1,9.34
2016,Month_6,cedarrapids1,183.39,30.81,16.24
2016,Month_7,cedarrapids1,171.71,29.65,18.0
2016,Month_8,cedarrapids1,196.6,29.78,17.74
2016,Month_9,cedarrapids1,172.73,27.13,14.37
2017,Month_1,cedarrapids1,47.0,-0.07,-6.65
2017,Month_10,cedarrapids1,108.98,19.01,7.65
2017,Month_11,cedarrapids1,18.55,8.63,-1.63
2017,Month_12,cedarrapids1,20.34,1.31,-8.35
2017,Month_2,cedarrapids1,16.51,9.6,-3.83
2017,Month_3,cedarrapids1,53.09,9.7,-1.42
2017,Month_4,cedarrapids1,161.04,18.56,5.72
2017,Month_5,cedarrapids1,120.41,22.6,8.55
2017,Month_6,cedarrapids1,125.73,29.93,15.07
2017,Month_7,cedarrapids1,124.47,30.52,17.54
2017,Month_8,cedarrapids1,78.24,27.15,14.41
2017,Month_9,cedarrapids1,16.26,27.81,12.57
2018,Month_1,cedarrapids1,21.09,-0.97,-11.85
2018,Month_10,cedarrapids1,119.13,16.7,4.73
2018,Month_11,cedarrapids1,50.3,3.39,-4.15
2018,Month_12,cedarrapids1,60.72,3.42,-5.45
2018,Month_2,cedarrapids1,49.79,1.11,-9.7
2018,Month_3,cedarrapids1,44.45,7.87,-3.67
2018,Month_4,cedarrapids1,23.88,12.91,-1.49
2018,Month_5,cedarrapids1,150.63,27.26,13.66
2018,Month_6,cedarrapids1,170.69,29.48,17.38
2018,Month_7,cedarrapids1,102.62,30.13,16.61
2018,Month_8,cedarrapids1,197.61,29.32,16.76
2018,Month_9,cedarrapids1,213.87,25.81,12.7
2019,Month_1,cedarrapids1,41.41,-3.51,-11.65
2019,Month_10,cedarrapids1,163.33,14.86,3.66
2019,Month_11,cedarrapids1,40.39,4.88,-3.79
2019,Month_12,cedarrapids1,36.84,4.68,-5.18
2019,Month_2,cedarrapids1,77.72,-2.48,-11.75
2019,Month_3,cedarrapids1,38.61,6.08,-4.96
2019,Month_4,cedarrapids1,112.02,17.13,3.76
2019,Month_5,cedarrapids1,190.5,21.76,8.46
2019,Month_6,cedarrapids1,101.1,27.07,13.58
2019,Month_7,cedarrapids1,35.56,31.24,19.1
2019,Month_8,cedarrapids1,120.91,28.16,15.27
2019,Month_9,cedarrapids1,178.57,26.57,15.31
2020,Month_1,cedarrapids1,31.5,0.14,-7.54
2020,Month_10,cedarrapids1,96.78,15.77,3.41
2020,Month_11,cedarrapids1,57.4,13.47,0.79
2020,Month_12,cedarrapids1,38.61,2.8,-6.33
2020,Month_2,cedarrapids1,10.17,2.16,-7.85
2020,Month_3,cedarrapids1,71.38,11.4,0.47
2020,Month_4,cedarrapids1,85.36,16.31,2.35
2020,Month_5,cedarrapids1,119.14,21.17,9.04
2020,Month_6,cedarrapids1,159.77,29.26,16.22
2020,Month_7,cedarrapids1,85.86,30.63,18.06
2020,Month_8,cedarrapids1,58.42,30.13,16.15
2020,Month_9,cedarrapids1,204.47,24.09,11.41
2021,Month_1,cedarrapids1,32.02,-0.56,-7.63
2021,Month_10,cedarrapids1,148.35,19.87,9.12
2021,Month_11,cedarrapids1,25.15,10.44,-0.56
2021,Month_12,cedarrapids1,31.51,6.02,-4.0
2021,Month_2,cedarrapids1,23.63,-5.38,-14.21
2021,Month_3,cedarrapids1,56.39,12.42,0.86
2021,Month_4,cedarrapids1,36.32,18.04,5.15
2021,Month_5,cedarrapids1,88.65,21.81,10.04
2021,Month_6,cedarrapids1,218.19,30.33,17.57
2021,Month_7,cedarrapids1,25.92,29.84,18.91
2021,Month_8,cedarrapids1,92.46,30.72,17.41
2021,Month_9,cedarrapids1,34.04,27.36,13.61
2022,Month_1,cedarrapids1,14.49,-3.23,-14.59
2022,Month_10,cedarrapids1,46.74,18.89,3.15
2022,Month_11,cedarrapids1,91.7,10.09,-1.17
2022,Month_12,cedarrapids1,45.73,1.08,-8.42
2022,Month_2,cedarrapids1,7.88,1.69,-10.48
2022,Month_3,cedarrapids1,84.08,10.02,-1.65
2022,Month_4,cedarrapids1,116.08,13.46,2.17
2022,Month_5,cedarrapids1,68.84,24.27,11.65
2022,Month_6,cedarrapids1,147.33,29.3,15.83
2022,Month_7,cedarrapids1,85.6,30.13,18.69
2022,Month_8,cedarrapids1,88.14,28.59,17.3
2022,Month_9,cedarrapids1,26.17,26.02,12.59
2023,Month_1,cedarrapids1,65.53,0.82,-6.0
2023,Month_10,cedarrapids1,138.95,19.02,7.24
2023,Month_11,cedarrapids1,14.73,10.48,-1.11
2023,Month_12,cedarrapids1,55.38,6.31,-1.35
2023,Month_2,cedarrapids1,80.27,4.8,-6.65
2023,Month_3,cedarrapids1,31.0,8.41,-1.72
2023,Month_4,cedarrapids1,50.81,18.59,3.41
2023,Month_5,cedarrapids1,56.64,26.11,10.44
2023,Month_6,cedarrapids1,68.07,29.74,14.74
2023,Month_7,cedarrapids1,50.81,30.65,17.22
2023,Month_8,cedarrapids1,46.74,30.43,17.81
2023,Month_9,cedarrapids1,21.09,27.74,14.04
2024,Month_1,cedarrapids1,72.66,-1.85,-8.03
2024,Month_10,cedarrapids1,90.43,23.15,6.43
2024,Month_11,cedarrapids1,105.42,10.02,1.43
2024,Month_12,cedarrapids1,1.02,3.68,-8.75
2024,Month_2,cedarrapids1,6.61,11.05,-3.3
2024,Month_3,cedarrapids1,78.49,12.98,0.19
2024,Month_4,cedarrapids1,102.62,17.98,5.09
2024,Month_5,cedarrapids1,171.96,24.66,11.13
2024,Month_6,cedarrapids1,89.67,29.33,17.63
2024,Month_7,cedarrapids1,220.48,28.44,17.43
2024,Month_8,cedarrapids1,109.98,28.76,16.97
2024,Month_9,cedarrapids1,2.29,27.78,12.13
